"idRFID";"idFingerprint";"email";"pass";"fullName";"phone";"address";"birthday";"gender";"positionn";"powerful";"idRoom";"csalary";"image";"keyAES"
"03C05003";2;"hoa@gmail.com";"TyHUretG8tQkOx63NgDtAA==";"Nguyễn Tiến Hòa";"0335854983";"Bắc Giang";"2020-01-04";"Nam";"Quản Lý";"Quản Lý";15;3.0;"79599422_1036404930093184_6021104125297557504_n.jpg";"q/v}+D1@t|7JgT+B"
"1374AF03";3;"quan@gmail.com";"69aTjHAM49hSIBAhsUUMlw==";"Nguyễn Hồng Quân";"0345395822";"Hà Nội";"2019-06-11";"Nữ";"Nhân viên";"Nhân Sự";15;3.0;"teacher1.jpg";"#)pLb5f4O|^m0!##Wq3{Ux!?3^5=2)#g"
"16EF7DF5";4;"minh@gmail.com";"e4lH3A3tv0i4V7gM/J1Tzg==";"Dương Quang Minh";"0348625050";"Yên xá - Thanh Trì -Tân Triều -Hà Nội";"1997-06-18";"Nữ";"Quản Lý";"Quản Lý";12;4.0;"teacher4.jpg";"0AS@l$1QT]QB3OP]Z|7tMgku"
"23E73002";5;"huy@gmail.com";"zOFNkZ8abURL028rrOT80Q==";"Hà Văn Huy";"0335854983";"Thái Bình";"1998-06-24";"Nam";"Nhân Viên";"Nhân Sự";12;3.0;"teacher3.jpg";"i+D$tHB+5MSK/vp%"
"33A6DD02";6;"sam@gmail.com";"xaBfuRFJTtIUrrEewzMbrQ==";"Vũ Đình Sâm";"0348625050";"Thanh Hóa";"2019-12-03";"Nam";"Nhân viên";"Nhân Sự";11;3.0;"teacher6.jpg";"c88KEhMqZ?BeljC[hMP=xZmIhGC9}7mn"
"A3077603";7;"hieu@gmail.com";"L2MGrQJj6jKtlfmukqzVEg==";"Trần Năng Hiếu";"0348625050";"Hà Tĩn";"2019-11-05";"Nam";"Nhân viên";"Nhân Sự";11;2.0;"team-img1.jpg";"+36f%H]u{zlrDgta5JiP@~{3"
"D3AF3102";8;"binh@gmail.com";"2PQZEiK+SiL8W18+yWCIgA==";"Hoàng Tiến Bình";"0348625050";"Bắc Ninh";"2019-12-03";"Nam";"Nhân viên";"Nhân Sự";16;2.0;"teacher7.jpg";"0A06y[=+N(nQjeCB{i$}1Q@k"
"E3509F02";10;"thanh@gmail.com";"84ONyYxDghMjU8dfDXclkQ==";"Nguyễn Công Thành";"0348625050";"Hưng Yên";"2019-12-10";"Nam";"Nhân viên";"Nhân Sự";16;2.0;"team-img1.jpg";"8}jKAsLM*~LUZL6%1+v^lfCu+1Ssqj4c"
"r1";1;"admin@gmail.com";"OZfWVtXMZkC/vEL22Gjstg==";"Admin";"0348625050";"a, a";"2019-12-03";"Nữ";"admin";"Admin";12;6.0;"79599422_1036404930093184_6021104125297557504_n.jpg";"cF](ZtTx[GtMxDx5"
"r2";11;"an@gmail.com";"Z4vmhI47CHsFL/b/HHaWgA==";"An Too Điên";"0348625050";"Hưng Yên";"2019-12-03";"Nam";"Nhân viên";"Nhân Sự";13;3.0;"team-img1.jpg";"r9{DT(4uhJw73%QgLG2UB)L7t8ec~Gml"
"r3";11;"nhu@gmail.com";"ZwRX/JWOQf49wkGhPik+YQ==";"Hà Thị Như";"0348625050";"Quảng Trị";"2019-03-06";"Nữ";"Nhân viên";"Nhân Sự";13;3.0;"team-img2.jpg";"ch2FHO~[?~46X!nc"
"r7";12;"trang@gmail.com";"cXEPSfO4gkFobdoHA2tP/Q==";"Hà Thị Trang";"0348625050";"Hà Nội";"2020-01-01";"Nữ";"Nhân viên";"Nhân Sự";14;3.0;"teacher7.jpg";"%/y7fvbesrE[/wgy"
"r8";13;"thu@gmail.com";"VtNiNfC72aW58hKAbIE22A==";"Trịnh Đình Thu";"0348625050";"Hà Nội";"2020-01-01";"Nam";"Nhân viên";"Nhân Sự";14;3.0;"teacher3.jpg";"BK^SAhlQTX8^s/Z=ZR~!D*#C"
"r9";14;"thong@gmail.com";"Y548yBpTno+m6ywfr0ae0g==";"Hà Văn Thống";"0348625050";"Thái Nguyên";"2020-01-01";"Nam";"Nhân viên";"Nhân Sự";14;3.0;"team-img1.jpg";"4sGeP0!Zf9ajJ]d]pWF/eJu~"
